pt_root_id,total_myelin_length,cell_type,number_of_segments
864691135739733140,221.03,4P,29
864691136041000190,0.0,6P-IT,63
864691135938604804,279.49,23P,104
864691136578982164,0.0,4P,69
864691135209715577,0.0,6P-IT,9
864691135700409211,266.1,4P,88
864691136176327430,58.77,23P,41
864691136313301565,490.47,4P,86
864691135417236410,712.5,23P,64
864691135101521952,0.0,4P,45
864691135562147041,64.3,4P,57
864691135431089968,0.0,6P-IT,38
864691136195796182,2199.35,BC,549
864691135572385061,146.52,23P,30
864691136196131542,186.98,23P,73
864691135867009413,92.65,23P,83
864691135782506832,14.72,4P,49
864691134919144714,49.93,4P,69
864691136725353725,2.81,6P-IT,20
864691135572346349,511.41,5P-IT,49
864691135993429185,130.07,4P,93
864691136025329721,722.87,4P,42
864691135699487522,153.43,MC,789
864691135233242713,333.74,5P-ET,67
864691135725838763,0.0,6P-CT,43
864691136194355176,87.04,23P,19
864691136134678667,819.74,6P-CT,25
864691135778465376,187.96,6P-IT,37
864691135778331232,53.31,6P-IT,47
864691135849401950,0.0,4P,38
864691135430186032,262.1,MC,65
864691136309871706,184.22,23P,69
864691135356753871,917.52,5P-IT,95
864691135782265936,1605.5,4P,92
864691135875121038,162.71,23P,66
864691135915343462,0.0,4P,61
864691135258083503,3.13,23P,72
864691135928938196,837.64,BC,666
864691135105897037,793.08,23P,91
864691134990291066,1012.4,4P,86
864691136991390869,749.69,5P-IT,87
864691136137834877,424.65,23P,134
864691136927176778,135.15,MC,54
864691136311213914,3364.97,BC,661
864691136137794941,1642.24,5P-ET,106
864691135719761713,267.62,23P,23
864691135274038801,536.44,23P,92
864691136389679223,4.5,23P,67
864691136620069517,11.32,4P,41
864691135688446944,955.89,23P,117
864691135685661367,456.15,23P,66
864691135498997267,248.55,6P-CT,49
864691136392254847,989.77,5P-IT,66
864691135256861871,347.36,5P-IT,98
864691135919645872,276.29,5P-IT,67
864691135646292719,2.78,5P-IT,70
864691135014696182,413.94,6P-IT,105
864691135083577335,122.78,6P-IT,47
864691135325071004,167.33,23P,63
864691135211926464,1.2,4P,55
864691136967634382,476.01,4P,73
864691136110303416,0.0,4P,53
864691135591664907,111.19,4P,66
864691136674080135,0.0,23P,57
864691136391623039,1053.84,5P-IT,82
864691136034011579,0.0,23P,83
864691135341198789,326.54,23P,61
864691135716428314,54.63,23P,53
864691135688350944,157.6,23P,65
864691135569592300,0.0,4P,63
864691135447638356,203.07,23P,87
864691135273655569,1559.0,5P-ET,92
864691136603342033,146.93,4P,32
864691135692949951,488.86,23P,35
864691135294935564,3.41,BC,291
864691136389878647,139.1,23P,73
864691136380312021,416.78,23P,67
864691135655526082,757.63,23P,62
864691136023889209,2.8,4P,83
864691135782702387,242.22,23P,71
864691134966005023,1054.14,4P,84
864691135350717399,403.21,5P-IT,59
864691136437698206,388.91,4P,39
864691135891467401,14.87,5P-IT,72
864691135492804327,1913.16,BC,590
864691136904615602,594.11,23P,67
864691135773910603,1059.62,5P-IT,87
864691136725020413,76.06,4P,53
864691135778815421,250.54,23P,59
864691136023980601,658.53,5P-IT,84
864691135852138183,364.61,23P,39
864691136145208372,5.45,6P-IT,31
864691136053374451,0.0,23P,63
864691135271282085,201.54,4P,45
864691135271696549,185.64,6P-IT,81
864691135388828033,0.0,6P-IT,23
864691135339982310,195.48,BC,418
864691135868118038,62.45,23P,32
864691136489055762,6.29,4P,57
864691135741458324,86.96,23P,61
864691136052745971,593.21,23P,63
864691136108071129,327.04,23P,105
864691135811260876,293.77,BC,611
864691135656410306,57.83,BC,446
864691135526405723,308.9,MC,274
864691136330407914,1276.88,23P,87
864691135878061395,485.1,5P-IT,58
864691135473692722,0.0,23P,69
864691135464633245,23.23,6P-IT,54
864691135369002233,180.14,6P-CT,29
864691136090602551,0.0,23P,32
864691135473954354,0.0,6P-IT,53
864691136664845278,822.99,23P,119
864691136445215875,86.74,23P,76
864691135136188185,0.0,23P,52
864691135416233914,246.3,23P,23
864691135919854768,143.77,23P,77
864691136603811281,119.68,23P,89
864691135975886447,57.68,23P,66
864691135060094107,0.0,4P,71
864691135888577417,0.0,6P-IT,37
864691135502748482,487.69,5P-IT,64
864691135777521837,195.9,23P,86
864691136674783111,58.11,23P,73
864691135490326074,234.75,23P,71
864691136389875831,441.45,23P,76
864691135474179378,0.0,MC,162
864691137055326070,52.45,4P,56
864691136363828194,108.8,BC,460
864691136108938168,285.33,23P,101
864691135546339880,369.19,5P-IT,123
864691135309141062,184.51,23P,65
864691135105879117,1271.06,5P-ET,51
864691136363303138,0.0,4P,55
864691136210344892,365.83,5P-IT,84
864691136144674612,461.44,23P,88
864691136040977662,503.34,5P-ET,66
864691136905458866,393.47,6P-CT,43
864691135614771147,532.89,23P,75
864691136905203378,0.0,4P,42
864691136335553971,0.0,23P,57
864691136378815445,0.0,4P,29
864691137199419457,2271.33,BC,681
864691136135997579,0.0,23P,58
864691135763402550,248.81,23P,61
864691135571192966,335.36,5P-IT,53
864691136042515798,3.44,6P-IT,42
864691136136516747,719.09,5P-IT,63
864691135066631492,291.79,5P-IT,77
864691135878154067,25.22,BC,240
864691136274488254,1.82,4P,56
864691136053437683,173.34,BC,409
864691135562052065,719.74,23P,108
864691136238652476,95.97,6P-IT,163
864691135342418629,0.0,23P,49
864691135502885954,0.0,23P,48
864691135464714565,1198.75,5P-ET,60
864691135157210468,1009.45,4P,119
864691135773731403,1.19,6P-CT,65
864691135361430087,25.31,5P-IT,45
